SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,RECRUIT_COUNT,DATE,SURVEY,Comments (HK)
Glenelg,Glenelg,Dergholm,1,1 to 2,Hydrocotyle spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Laphangium luteoalbum,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Alternanthera denticulata,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Sonchus spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Oxalis spp.,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Atriplex prostrata,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Cirsium vulgare,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Alternanthera denticulata,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Senecio spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Sonchus oleraceus,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Laphangium luteoalbum,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,2 to 3,Chickweed,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,3 to 4,Cirsium vulgare,9,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,3 to 4,Sonchus oleraceus,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,3 to 4,Senecio spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,3 to 4,Chickweed,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,3 to 4,Oxalis spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,4 to 5,Oxalis spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,4 to 5,Cirsium vulgare,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,4 to 5,Plantago lanceolata,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,4 to 5,Hydrocotyle spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,4 to 5,Trifolium spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,4 to 5,Rumex spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2, -1 to 0,Atriplex prostrata,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2, -1 to 0,Symphyotrichum subulatum,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,0 to 1,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,0 to 1,Cynodon dactylon var. dactylon,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,0 to 1,Plantago major,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,0 to 1,Plantago lanceolata,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,0 to 1,Lysimachia spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Plantago major,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Plantago lanceolata,50 to 100,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Atriplex prostrata,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Oxalis spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Centipeda cunninghamii,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Lysimachia spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Crassula spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Symphyotrichum subulatum,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Microlaena stipoides,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Laphangium luteoalbum,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Cirsium vulgare,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,1 to 2,Sonchus asper,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Symphyotrichum subulatum,8,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Senecio spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Oxalis spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Lysimachia spp.,8,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Crassula spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Atriplex prostrata,10,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Sonchus asper,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Laphangium luteoalbum,8,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Plantago major,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,2 to 3,Rumex brownii,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,3 to 4,Oxalis spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,2,3 to 4,Rosa spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3, -1 to 0,Atriplex prostrata,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3, -1 to 0,Senecio biserratus,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3, -1 to 0,Symphyotrichum subulatum,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Symphyotrichum subulatum,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Plantago major,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Senecio biserratus,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Sonchus oleraceus,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Rumex spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Lythrum hyssopifolia,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,0 to 1,Hypochaeris radicata,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Plantago major,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Senecio biserratus,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Hypochaeris radicata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Sonchus spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Symphyotrichum subulatum,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Crassula helmsii,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Phalaris aquatica,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,1 to 2,Lolium spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,2 to 3,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,2 to 3,Atriplex prostrata,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,2 to 3,Lolium spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,2 to 3,Poa labillardierei var. labillardierei,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,3 to 4,Phalaris aquatica,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,3,3 to 4,Sonchus spp.,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Symphyotrichum subulatum,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Senecio biserratus,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Lysimachia spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Hypochaeris radicata,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Plantago major,8,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Sonchus spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Laphangium luteoalbum,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Rumex spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Senecio spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Symphyotrichum subulatum,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Rumex spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Laphangium luteoalbum,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Lysimachia spp.,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Centipeda cunninghamii,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Sonchus spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Ranunculus spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,0 to 1,Brassica spp.,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Lysimachia spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Rumex brownii,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Rumex crispus,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Sonchus spp.,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Hypochaeris radicata,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Laphangium luteoalbum,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Euchiton involucratus s.l.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Phalaris aquatica,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Bromus diandrus,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,1 to 2,Holcus spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,2 to 3,Laphangium luteoalbum,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,2 to 3,Plantago lanceolata,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,4,2 to 3,Phalaris aquatica,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5, -1 to 0,Nil,0,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,0 to 1,Atriplex prostrata,8,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,0 to 1,Lachnagrostis filiformis s.l.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,0 to 1,Plantago major,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,0 to 1,Senecio spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Lachnagrostis filiformis s.l.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Plantago major,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Rumex brownii,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Senecio spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Eucalyptus camaldulensis subsp. camaldulensis,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Laphangium luteoalbum,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Sonchus spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Atriplex prostrata,12,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,1 to 2,Symphyotrichum subulatum,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Senecio spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Sonchus spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Laphangium luteoalbum,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Cirsium vulgare,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Hypochaeris radicata,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Lachnagrostis filiformis s.l.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Lolium spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,5,2 to 3,Poa labillardierei var. labillardierei,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6, -1 to 0,Atriplex prostrata,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Symphyotrichum subulatum,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Senecio spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Crassula spp.,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Lachnagrostis filiformis s.l.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Laphangium luteoalbum,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,0 to 1,Plantago lanceolata,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Laphangium luteoalbum,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Plantago major,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Lachnagrostis filiformis s.l.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Atriplex prostrata,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Oxalis spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Crassula spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Sonchus oleraceus,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Senecio spp.,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,1 to 2,Laphangium luteoalbum,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,2 to 3,Helminthotheca echioides,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,2 to 3,Rumex spp.,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,2 to 3,Senecio spp.,3,29/03/2023,7,
Glenelg,Glenelg,Dergholm,6,2 to 3,Rosa spp.,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7, -1 to 0,Senecio spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7, -1 to 0,Laphangium luteoalbum,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7, -1 to 0,Atriplex prostrata,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7, -1 to 0,Hypochaeris radicata,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7, -1 to 0,Lythrum hyssopifolia,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Senecio spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Lythrum hyssopifolia,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Hypochaeris radicata,8,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Laphangium luteoalbum,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Euchiton involucratus s.l.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Lachnagrostis filiformis s.l.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Centipeda cunninghamii,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,0 to 1,Plantago major,7,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Plantago lanceolata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Laphangium luteoalbum,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Senecio spp.,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Hypochaeris radicata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Rumex brownii,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Bromus spp.,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,1 to 2,Symphyotrichum subulatum,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Hypochaeris radicata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Bromus spp.,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Poa labillardierei var. labillardierei,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Rumex brownii,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Acetosella vulgaris,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Plantago lanceolata,4,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Anthoxanthum odoratum,5,29/03/2023,7,
Glenelg,Glenelg,Dergholm,7,2 to 3,Atriplex prostrata,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Sonchus spp.,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Alternanthera denticulata,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Dysphania spp.,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Lysimachia spp.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Rumex spp.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Lachnagrostis filiformis s.l.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,dicot spp,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1, -1 to 0,Medicago spp.,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Dysphania spp.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Rumex brownii,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Alternanthera denticulata,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Cirsium vulgare,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Sonchus spp.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Medicago spp.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Lachnagrostis filiformis s.l.,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,dicot spp,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,0 to 1,Lolium spp.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,1 to 2,Atriplex prostrata,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,1 to 2,Medicago spp.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,1 to 2,Dysphania spp.,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,1 to 2,Alternanthera denticulata,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,1,1 to 2,Sonchus spp.,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,2, -1 to 0,Lachnagrostis filiformis s.l.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,2, -1 to 0,Alternanthera denticulata,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,2,0 to 1,Alternanthera denticulata,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,2,1 to 2,Cirsium vulgare,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,2,1 to 2,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,2,1 to 2,Centipeda cunninghamii,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,2,1 to 2,Atriplex prostrata,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,3, -1 to 0,Rumex spp.,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3, -1 to 0,Alternanthera denticulata,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Cirsium vulgare,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Atriplex prostrata,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Symphyotrichum subulatum,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Rumex spp.,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Lysimachia spp.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Senecio spp.,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,0 to 1,Laphangium luteoalbum,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,1 to 2,Symphyotrichum subulatum,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,1 to 2,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,1 to 2,Rumex brownii,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,1 to 2,Senecio spp.,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,1 to 2,Centipeda cunninghamii,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Cirsium vulgare,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Senecio spp.,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Centipeda cunninghamii,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Dysphania spp.,6,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Rumex brownii,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Symphyotrichum subulatum,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Euchiton involucratus s.l.,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Lysimachia spp.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Atriplex prostrata,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Lythrum hyssopifolia,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,3,2 to 3,Lachnagrostis filiformis s.l.,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,4, -1 to 0,NO DATA,,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,0 to 1,Symphyotrichum subulatum,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,0 to 1,Lysimachia spp.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,0 to 1,Alternanthera denticulata,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,1 to 2,NO DATA,,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,2 to 3,NO DATA,,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Cirsium vulgare,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Centipeda cunninghamii,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Oxalis spp.,8,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Dysphania spp.,7,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Laphangium luteoalbum,6,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Dittrichia graveolens,3,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Lysimachia spp.,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Rumex spp.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Atriplex prostrata,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,4,3 to 4,Symphyotrichum subulatum,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,5, -1 to 0,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,5, -1 to 0,Crassula spp.,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,5, -1 to 0,Symphyotrichum subulatum,4,29/03/2023,7,
Glenelg,Glenelg,Warrock,5, -1 to 0,Centipeda cunninghamii,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,0 to 1,Plantago major,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,0 to 1,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,0 to 1,Symphyotrichum subulatum,8,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,0 to 1,Solanum spp.,1,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,0 to 1,Centipeda cunninghamii,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,0 to 1,Crassula spp.,5,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,1 to 2,Alternanthera denticulata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,1 to 2,Symphyotrichum subulatum,2,29/03/2023,7,
Glenelg,Glenelg,Warrock,5,1 to 2,Centipeda cunninghamii,1,29/03/2023,7,
